msoa21cd,all_lgb_plus,gay_or_lesbian,bisexual_and_other,all_diff_id,trans_mw,other_id,different_unanswered
E02000334,0.027062582,0.016914114,0.010148468,0.005639098,0.002443609,0.00056391,0.002631579
E02000335,0.033314405,0.020632217,0.012682188,0.00340651,0.001892506,0.000757002,0.000757002
E02000337,0.027539503,0.015199398,0.012340106,0.006019564,0.002257336,0.000601956,0.003160271
E02000339,0.032258065,0.017702596,0.014555468,0.006887052,0.001574183,0.00137741,0.003935458
E02000340,0.034581105,0.01942959,0.015151515,0.004634581,0.001782531,0.000891266,0.001960784
E02000341,0.026307081,0.012739907,0.013567174,0.007114494,0.002647253,0.00148908,0.00297816
E02000342,0.045232034,0.018797729,0.026434306,0.004700353,0.001566784,0.001175088,0.00195848
E02000343,0.023907226,0.013024086,0.01088314,0.003924367,0.001962183,0.000535141,0.001427042
E02000344,0.019338619,0.009089151,0.010249468,0.001933862,0.000773545,0,0.001160317
E02000345,0.031885139,0.015103487,0.016781652,0.008765386,0.001305483,0.002610966,0.004848937
E02000346,0.063996807,0.035790314,0.028206493,0.008383234,0.002262142,0.001463739,0.004657352
E02000347,0.042514535,0.019803779,0.022710755,0.007266122,0.002724796,0.001089918,0.003451408
E02000348,0.034278303,0.015008338,0.019269964,0.010559466,0.002223046,0.000185254,0.008151167
E02000350,0.080565806,0.036777368,0.043788438,0.007380074,0.001722017,0.003813038,0.001845018
E02000351,0.090771749,0.043182677,0.047589072,0.008816121,0.002770781,0.002392947,0.003652393
E02000352,0.062547529,0.030798479,0.031749049,0.007601672,0.001900418,0.003230711,0.002470544
E02000353,0.080413644,0.039666615,0.040747029,0.007250849,0.00185128,0.003085467,0.002314101
E02000354,0.08546795,0.036111458,0.049356491,0.012492192,0.004372267,0.00387258,0.004247345
E02000355,0.089703933,0.048018854,0.041685079,0.017236299,0.005156158,0.007071302,0.005008839
E02000356,0.091509914,0.05321132,0.038298594,0.007628412,0.001864723,0.003898966,0.001864723
E02000357,0.045488303,0.019680654,0.025807649,0.013187221,0.003343239,0.002600297,0.007243685
E02000358,0.101541733,0.055608719,0.045933015,0.012652844,0.003615098,0.004253057,0.004784689
E02000359,0.082730477,0.038582823,0.044147653,0.011507053,0.002041574,0.005011136,0.004454343
E02000360,0.072149289,0.038949767,0.033199522,0.015190972,0.004882813,0.003689236,0.006618924
E02000361,0.098821132,0.051229806,0.047591326,0.012370834,0.003056324,0.005093873,0.004220637
E02000362,0.076870163,0.036629407,0.040240757,0.013243894,0.003611971,0.004471964,0.005159959
E02000363,0.058630855,0.02795065,0.030680205,0.012008734,0.003275109,0.002838428,0.005895197
E02000364,0.092135698,0.055769725,0.036365972,0.011176773,0.004239466,0.004367934,0.002569373
E02000366,0.069865811,0.034859977,0.035005834,0.008168028,0.002917153,0.001896149,0.003354726
E02000367,0.098122963,0.052377206,0.045745757,0.011575635,0.003146775,0.004270623,0.004158238
E02000368,0.079076021,0.043021266,0.036054754,0.010754002,0.003543933,0.002566296,0.004643774
E02000369,0.083896196,0.049413438,0.034482758,0.009951133,0.003553976,0.002310084,0.004087072
E02000370,0.077150141,0.047095129,0.030055011,0.009258017,0.002817657,0.001744264,0.004696096
E02000372,0.044300823,0.021974148,0.022326674,0.012573443,0.004230317,0.000940071,0.007403055
E02000373,0.029659465,0.014829733,0.014829733,0.014463566,0.006774075,0.001098499,0.006590992
E02000374,0.051714946,0.026301759,0.025413187,0.007819442,0.003909721,0.000710858,0.003198863
E02000375,0.054444444,0.032698413,0.021746031,0.009365079,0.002539683,0.000952381,0.005873016
E02000376,0.076461512,0.044745414,0.031716098,0.015255399,0.00342818,0.001542681,0.010284539
E02000377,0.062452515,0.032973712,0.029478803,0.008358663,0.002735562,0.001823708,0.003799392
E02000378,0.072939068,0.043369176,0.029569892,0.00896218,0.002867897,0.001792436,0.004301846
E02000379,0.046581769,0.029825737,0.016756032,0.006366225,0.001842855,0.001005193,0.003518177
E02000380,0.054059969,0.033924272,0.020135697,0.006347122,0.002626395,0.000218866,0.00350186
